,source_taxon_name,latitude,longitude,ISO_A2,NAME_ES,searched_taxon_name,target_taxon_name,country_name,Estatus.Taxonómico,Nombre.Válido,Autoridad,Rango.Taxonómico,Familia,Forma.biológica
8943,Xylocopa sonorina,33.83690433,-116.4038275,US,Estados Unidos,Chilopsis linearis,Chilopsis linearis,Estados Unidos|México,Aceptado,Chilopsis linearis,(Cav.) Sweet,Especie,Bignoniaceae,Árbol|Arbusto
8944,Xylocopa sonorina,33.98860333,-116.6567083,US,Estados Unidos,Chilopsis linearis,Chilopsis linearis,Estados Unidos|México,Aceptado,Chilopsis linearis,(Cav.) Sweet,Especie,Bignoniaceae,Árbol|Arbusto
8949,Xylocopa sonorina,35.07393053,-106.4455243,US,Estados Unidos,Chilopsis linearis,Chilopsis linearis,Estados Unidos|México,Aceptado,Chilopsis linearis,(Cav.) Sweet,Especie,Bignoniaceae,Árbol|Arbusto
8973,Xylocopa sonorina,38.43100333,-122.7531133,US,Estados Unidos,Chlorogalum pomeridianum,Chlorogalum pomeridianum,Estados Unidos,Aceptado,Chlorogalum pomeridianum,(DC.) Kunth,Especie,Asparagaceae,Herbácea
8987,Xylocopa sonorina,37.25413889,-121.8862889,US,Estados Unidos,Choisya ternata,Choisya ternata,Estados Unidos,Aceptado,Choisya ternata,Kunth,Especie,Rutaceae,Arbusto
10331,Xylocopa sonorina,37.36190171,-121.7956586,US,Estados Unidos,Cirsium occidentale,Cirsium occidentale,Estados Unidos,Aceptado,Cirsium occidentale ,(Nutt.) Jeps.,Especie,Asteraceae,Herbácea
10767,Xylocopa sonorina,34.16582296,-118.4959732,US,Estados Unidos,Cistanthe grandiflora,Cistanthe grandiflora,Estados Unidos,Aceptado,Cistanthe grandiflora ,(Lindl.) Schltdl.,Especie,Montiaceae,Herbácea
10768,Xylocopa sonorina,37.32500833,-121.9332367,US,Estados Unidos,Cistanthe grandiflora,Cistanthe grandiflora,Estados Unidos,Aceptado,Cistanthe grandiflora ,(Lindl.) Schltdl.,Especie,Montiaceae,Herbácea
10770,Xylocopa sonorina,37.79722878,-122.2208015,US,Estados Unidos,Cistanthe grandiflora,Cistanthe grandiflora,Estados Unidos,Aceptado,Cistanthe grandiflora ,(Lindl.) Schltdl.,Especie,Montiaceae,Herbácea
10771,Xylocopa sonorina,37.81160046,-122.2551231,US,Estados Unidos,Cistanthe grandiflora,Cistanthe grandiflora,Estados Unidos,Aceptado,Cistanthe grandiflora ,(Lindl.) Schltdl.,Especie,Montiaceae,Herbácea
10772,Xylocopa sonorina,38.29347167,-122.30842,US,Estados Unidos,Cistanthe grandiflora,Cistanthe grandiflora,Estados Unidos,Aceptado,Cistanthe grandiflora ,(Lindl.) Schltdl.,Especie,Montiaceae,Herbácea
10778,Xylocopa sonorina,37.38010137,-122.0924015,US,Estados Unidos,Cistus,Cistus,Estados Unidos,Aceptado,Cistus,L.,Género,Cistaceae,Arbusto
10779,Xylocopa sonorina,37.80289011,-122.2279301,US,Estados Unidos,Cistus,Cistus,Estados Unidos,Aceptado,Cistus,L.,Género,Cistaceae,Arbusto
10807,Xylocopa sonorina,33.7348311,-116.301672,US,Estados Unidos,Citrus,Citrus,Estados Unidos,Aceptado,Citrus,L.,Género,Rutaceae,Árbol|Arbusto
10814,Xylocopa sonorina,37.56707833,-122.317445,US,Estados Unidos,Citrus,Citrus,Estados Unidos,Aceptado,Citrus,L.,Género,Rutaceae,Árbol|Arbusto
10817,Xylocopa sonorina,37.26894367,-121.981637,US,Estados Unidos,Citrus × aurantium,Citrus × aurantium,Estados Unidos,Aceptado,Citrus × aurantium,L.,Híbrido,Rutaceae,Árbol
10874,Xylocopa sonorina,37.94035833,-122.0682917,US,Estados Unidos,Clarkia unguiculata,Clarkia unguiculata,Estados Unidos,Aceptado,Clarkia unguiculata ,Lindl.,Especie,Onagraceae,Herbácea
11771,Xylocopa sonorina,32.71830833,-117.2442033,US,Estados Unidos,Coriandrum sativum,Coriandrum sativum,Canadá|Estados Unidos,Aceptado,Coriandrum sativum,L.,Especie,Apiaceae,Herbácea
11930,Xylocopa sonorina,38.59233301,-122.8511141,US,Estados Unidos,Cosmos atrosanguineus,Cosmos atrosanguineus,Estados Unidos,Aceptado,Cosmos atrosanguineus,(Hook.) Voss,Especie,Asteraceae,Herbácea
12026,Xylocopa sonorina,37.3711814,-121.8229101,US,Estados Unidos,Cotoneaster,Cotoneaster,Canadá|Estados Unidos,Aceptado,Cotoneaster,Medik.,Especie,Rosaceae,Árbol|Arbusto
12652,Xylocopa sonorina,37.82587833,-122.249655,US,Estados Unidos,Cucurbitaceae,Cucurbitaceae,Canadá|Estados Unidos,Aceptado,Cucurbitaceae ,Juss.,Familia,Cucurbitaceae,
12666,Xylocopa sonorina,37.79010332,-121.8940262,US,Estados Unidos,Cucurbitaceae,Cucurbitaceae,Canadá|Estados Unidos,Aceptado,Cucurbitaceae ,Juss.,Familia,Cucurbitaceae,
12677,Xylocopa sonorina,37.72989107,-122.1437242,US,Estados Unidos,Cuphea,Cuphea,Canadá|Estados Unidos,Aceptado,Cuphea,P. Browne,Género,Lythraceae,Arbusto|Herbácea
12744,Xylocopa sonorina,37.309611,-121.892233,US,Estados Unidos,Cynara cardunculus,Cynara cardunculus,Estados Unidos,Aceptado,Cynara cardunculus,L.,Especie,Asteraceae,Herbácea
12871,Xylocopa sonorina,37.372015,-122.092266,US,Estados Unidos,Dahlia pinnata,Dahlia pinnata,Canadá|Estados Unidos,Aceptado,Dahlia pinnata,Cav.,Especie,Asteraceae,Herbácea
13171,Xylocopa sonorina,38.00021111,-121.7260667,US,Estados Unidos,Datura,Datura,Estados Unidos,Aceptado,Datura,L.,Género,Solanaceae,Arbusto|Herbácea
13175,Xylocopa sonorina,37.29092412,-121.9088763,US,Estados Unidos,Datura,Datura,Estados Unidos,Aceptado,Datura,L.,Género,Solanaceae,Arbusto|Herbácea
13188,Xylocopa sonorina,34.0503149,-116.5701231,US,Estados Unidos,Datura wrightii,Datura wrightii,Estados Unidos,Aceptado,Datura wrightii,Regel,Especie,Solanaceae,Arbusto|Herbácea
13589,Xylocopa sonorina,38.29298,-122.2871467,US,Estados Unidos,Dianthus,Dianthus,Canadá|Estados Unidos,Aceptado,Dianthus,L.,Género,Caryophyllaceae,Herbácea
13642,Xylocopa sonorina,37.4400122,-122.1482255,US,Estados Unidos,Digitalis,Digitalis,Canadá|Estados Unidos,Aceptado,Digitalis,L.,Género,Plantaginaceae,Arbusto|Herbácea
13666,Xylocopa sonorina,37.77187792,-122.2670311,US,Estados Unidos,Digitalis purpurea,Digitalis purpurea,Canadá|Estados Unidos|Nueva Zelanda,Aceptado,Digitalis purpurea ,L.,Especie,Plantaginaceae,Herbácea
13670,Xylocopa sonorina,37.4400122,-122.1482255,US,Estados Unidos,Digitalis purpurea,Digitalis purpurea,Canadá|Estados Unidos|Nueva Zelanda,Aceptado,Digitalis purpurea ,L.,Especie,Plantaginaceae,Herbácea
